,IPC,AC,ALFAA,ALPEKA,ALSEA,AMXL,ASURB,BIMBOA,BOLSAA,CEMEXCPO,ELEKTRA,GAPB,GCARSOA1,GENTERA,GFINBURO,GFNORTEO,GMEXICOB,GRUMAB,IENOVA,KIMBERA,KOFUBL,LALAB,OMAB,ORBIA,PINFRA,TLEVISACPO,VOLARA,WALMEX
2020-01-22,45604.441406,103.45326999999999,15.535726,21.691129999999998,47.310001,15.311556,380.100006,34.310863,41.439991,7.89,1394.204956,244.80000299999998,74.620003,21.83,24.620001000000002,114.220001,55.725601,207.339737,87.879997,40.324265000000004,119.589996,16.416037,147.119995,46.297256,207.559998,46.310001,22.23,56.331996999999994
2020-01-23,45476.429688,104.18463100000001,15.365991000000001,21.372142999999998,45.57,15.499125,380.359985,34.034874,41.660416,7.88,1389.232178,240.99000499999997,74.089996,21.940001000000002,24.709999,113.449997,52.730865,204.333954,87.260002,40.353584000000005,117.760002,16.817383,146.220001,46.530884,208.91000400000001,46.459998999999996,22.299999,56.849442
2020-01-24,45141.621094,103.46302800000001,15.116381,21.3223,45.459998999999996,15.479381,375.769989,33.019646,41.20998,7.87,1398.031616,239.67999300000002,71.769997,21.879998999999998,24.16,114.150002,51.566241999999995,203.980347,88.18,38.731235999999996,118.029999,16.983795,144.740005,45.518494,206.33999599999999,45.310001,22.09,56.560863
2020-01-27,44134.390625,102.185585,14.392510999999999,19.195,44.900002,15.114115,365.695007,32.255756,40.510368,7.785,1392.45105,234.41000400000001,69.489998,21.17,23.205,113.404999,50.127598,202.772125,86.16999799999999,37.323887,114.985001,16.621605,141.455002,45.182659,202.020004,44.404999,22.025,54.62044100000001
2020-01-28,44717.941406,103.970108,14.307644,18.709999,45.119999,15.528739999999999,370.0,33.384338,40.749962,8.05,1389.262085,237.94999700000002,69.800003,21.4,23.42,113.5,50.84203,205.1689,87.779999,37.861416,115.599998,17.11105,143.520004,45.742393,205.860001,44.970001,23.280001000000002,55.665282999999995
2020-01-29,45132.601563,104.545441,14.197816,18.32,45.82,15.913751999999999,371.869995,33.394196,40.625374,7.95,1388.165894,237.0,70.849998,21.700001,23.34,115.699997,52.1143,204.41253700000001,88.879997,39.180801,115.860001,16.797804,143.0,45.586639,206.96000700000002,44.52,23.74,55.724991
2020-01-30,44862.761719,104.564949,14.227769,17.66,45.75,15.854517999999999,369.27999900000003,33.561756,41.382488,7.85,1397.1347660000001,237.789993,70.120003,21.48,23.139999,116.010002,50.705013,201.288879,89.279999,39.141708,115.720001,16.768438,144.830002,45.226459999999996,206.58999599999999,42.200001,24.389999,55.854355000000005
2020-01-31,44108.308594,104.45768000000001,14.167862,17.73,45.825001,15.494188000000001,363.149994,33.320271000000005,41.631664,7.595,1377.951538,233.854996,67.980003,21.049999,21.424999,116.129997,49.144032,197.236969,88.714996,38.17416,115.18,16.57266,143.755005,43.230892,204.115005,41.965,24.535,54.948822
2020-02-04,45047.070313,106.17393500000001,14.157878,17.555,45.849998,15.785414000000001,365.799988,33.793388,41.54541,7.945,1375.360596,238.96499599999999,69.175003,21.155001000000002,22.6,116.355003,52.926601,200.596375,90.334999,38.086205,117.449997,16.743965,144.490005,45.51363,204.395004,42.32,24.379998999999998,56.34692
2020-02-05,44782.859375,104.79898100000001,14.018096,17.42,46.240002000000004,15.686694000000001,372.700012,33.49276,41.056641,7.75,1371.454102,240.22000099999997,66.75,21.52,22.24,116.07,52.192596,199.766357,89.300003,37.998241,118.019997,16.641182,144.050003,45.625572,202.759995,40.950001,23.809998999999998,55.844398
2020-02-06,44493.148438,104.945251,13.638689000000001,17.290001,46.099998,15.479381,369.670013,32.654949,41.468742,7.75,1359.266602,240.020004,65.800003,21.25,21.4,116.160004,51.282433000000005,199.402908,89.089996,38.066654,119.0,16.660760999999997,145.020004,45.236195,204.080002,40.369999,24.299999,54.938869
2020-02-07,44399.328125,104.935501,13.339157,17.09,45.200001,15.439893,366.769989,32.694373999999996,41.219563,7.79,1386.162964,242.0,65.959999,21.040001,22.040001,113.989998,50.734375,200.385193,89.260002,37.714817,120.290001,16.49435,144.059998,44.885754,202.669998,40.029999,24.0,55.724991
2020-02-10,44290.53125,104.540565,13.448985999999998,16.84,45.400002,15.193091,368.350006,32.502171000000004,41.823338,7.735,1398.200928,239.11000099999998,66.29499799999999,20.285,22.26,114.129997,50.964363,199.790924,90.620003,37.670837,120.095001,16.49435,144.21000700000002,44.525578,201.934998,39.904999,23.91,55.958836
2020-02-11,45027.410156,104.90625,13.988142999999999,16.9,45.77,15.528739999999999,381.149994,33.364624,41.20998,8.05,1397.6329349999999,246.559998,69.0,20.68,22.68,115.33000200000001,51.390083000000004,199.992294,90.220001,40.070159999999994,120.989998,16.504139000000002,149.029999,44.428234,205.380005,41.439999,23.99,55.983711
2020-02-12,45338.371094,103.40451800000001,13.978159,16.68,46.060001,16.397482,375.070007,33.591331,41.344151000000004,7.65,1387.817139,242.86999500000002,69.610001,21.15,23.15,116.790001,50.293972,202.752487,90.309998,39.083069,120.220001,16.543293,151.199997,44.340621999999996,203.470001,42.400002,24.690001000000002,55.973763
2020-02-13,45005.121094,102.380615,13.179406,14.98,45.900002,16.427097,365.73999,33.256207,41.813755,7.28,1383.791138,240.809998,66.75,21.209999,23.23,116.029999,50.391838,199.825302,89.510002,38.193709999999996,118.93,16.357302,152.970001,43.153015,202.610001,41.57,24.77,56.98875400000001
2020-02-14,44999.679688,108.026711,12.360686,14.0,45.889998999999996,16.427097,369.089996,32.457817,42.024592999999996,7.15,1387.956665,241.58999599999999,66.459999,21.01,23.190001000000002,114.959999,51.018188,201.151352,89.08000200000001,38.467358000000004,119.760002,16.053846,150.050003,43.853896999999996,204.029999,41.639998999999996,24.620001000000002,57.894282999999994
